experiment_condition,model_a,model_b,p_value,t,significant,p_hat_a,n_a_summary,p_hat_b,n_b_summary
1,baseline_cluster,grr_cluster,0.2691052740069854,-1.113050686057542,False,0.425,40,0.55,40
1,baseline_cluster,grtx_cluster,0.49736474101778205,0.6818362429877541,False,0.425,40,0.35,40
1,grr_cluster,grtx_cluster,0.07380437697404332,1.8122390919290403,False,0.55,40,0.35,40
2,baseline_cluster,grr_cluster,0.7670945799130388,-0.297212417032082,False,0.4125,40,0.4375,40
2,baseline_cluster,grtx_cluster,0.294411693902518,1.0555973258234947,False,0.4125,40,0.325,40
2,grr_cluster,grtx_cluster,0.18162811336280496,1.3477986652661282,False,0.4375,40,0.325,40
5,baseline_cluster,grr_cluster,0.9812780923660746,0.023543504160478172,False,0.4341666666666667,40,0.43291666666666667,40
5,baseline_cluster,grtx_cluster,0.0006474678120606428,3.5548852977939336,True,0.4341666666666667,40,0.23875000000000002,40
5,grr_cluster,grtx_cluster,0.00029176530541879993,3.794413311455595,True,0.43291666666666667,40,0.23875000000000002,40
10,baseline_cluster,grr_cluster,0.20067223492430195,-1.2905650782442768,False,0.31273809523809526,40,0.3689285714285714,40
10,baseline_cluster,grtx_cluster,0.1251542112470642,1.5504230011294269,False,0.31273809523809526,40,0.24800595238095235,40
10,grr_cluster,grtx_cluster,0.004123804467114727,2.9564981454600465,True,0.3689285714285714,40,0.24800595238095235,40
20,baseline_cluster,grr_cluster,0.6287088214046213,0.48554870627054336,False,0.3549107142857143,40,0.338015873015873,40
20,baseline_cluster,grtx_cluster,0.00037791787327260366,3.7167732536260942,True,0.3549107142857143,40,0.21154761904761904,40
20,grr_cluster,grtx_cluster,0.000566410796073195,3.6027842358974005,True,0.338015873015873,40,0.21154761904761904,40
