experiment_condition,model_a,model_b,p_value,t,significant,p_hat_a,n_a_summary,p_hat_b,n_b_summary
1,baseline_gpt,grr_gpt,0.48439230884299433,-0.7026171689305271,False,0.625,40,0.7,40
1,baseline_gpt,grtx_gpt,0.8189062127679293,-0.2297259648897349,False,0.625,40,0.65,40
1,grr_gpt,grtx_gpt,0.6381916425175399,0.4720774754816653,False,0.7,40,0.65,40
2,baseline_gpt,grr_gpt,0.24773623444869527,-1.1646981321915282,False,0.55,40,0.65,40
2,baseline_gpt,grtx_gpt,0.3424909803098632,0.9550768752874457,False,0.55,40,0.4625,40
2,grr_gpt,grtx_gpt,0.03418704177972287,2.1564411593567505,True,0.65,40,0.4625,40
5,baseline_gpt,grr_gpt,0.2299730816435777,-1.2106283836490184,False,0.5945833333333334,40,0.6483333333333333,40
5,baseline_gpt,grtx_gpt,0.36147055004755857,0.9179895916134939,False,0.5945833333333334,40,0.5466666666666666,40
5,grr_gpt,grtx_gpt,0.032774085486455364,2.1782508697112313,True,0.6483333333333333,40,0.5466666666666666,40
10,baseline_gpt,grr_gpt,0.14099543200665127,-1.4876838645463912,False,0.5055357142857143,40,0.5638988095238096,40
10,baseline_gpt,grtx_gpt,0.8671087362963623,0.16790083983897053,False,0.5055357142857143,40,0.4989285714285714,40
10,grr_gpt,grtx_gpt,0.07237835574560463,1.821413440685935,False,0.5638988095238096,40,0.4989285714285714,40
20,baseline_gpt,grr_gpt,0.4667896402315297,-0.7317259020511362,False,0.5579960317460317,40,0.5826190476190476,40
20,baseline_gpt,grtx_gpt,0.010210517862228864,2.6366639627116637,True,0.5579960317460317,40,0.4658730158730159,40
20,grr_gpt,grtx_gpt,0.00011953579658563415,4.053418197702185,True,0.5826190476190476,40,0.4658730158730159,40
