experiment_condition,model_a,model_b,p_value,z,significant,p_hat_a,n_a_summary,p_hat_b,n_b_summary,x_a,N_a,x_b,N_b
1,baseline_gpt,grr_gpt,0.47812163773579774,-0.7093269021319082,False,0.625,40,0.7,40,25,40,28,40
1,baseline_gpt,grtx_gpt,0.8160923250940513,-0.232573863015483,False,0.625,40,0.65,40,25,40,26,40
1,grr_gpt,grtx_gpt,0.6330702545034985,0.47740991602628796,False,0.7,40,0.65,40,28,40,26,40
2,baseline_gpt,grr_gpt,0.17146020606432763,-1.3675269175156546,False,0.55,40,0.65,40,40,72,48,72
2,baseline_gpt,grtx_gpt,0.24329954546042482,1.166779208669212,False,0.55,40,0.4625,40,40,72,33,72
2,grr_gpt,grtx_gpt,0.011743382301172603,2.5197631533948477,True,0.65,40,0.4625,40,48,72,33,72
5,baseline_gpt,grr_gpt,0.2612692235736873,-1.1233962928411467,False,0.5945833333333334,40,0.6483333333333333,40,99,168,109,168
5,baseline_gpt,grtx_gpt,0.5083315735521455,0.6614378277661473,False,0.5945833333333334,40,0.5466666666666666,40,99,168,93,168
5,grr_gpt,grtx_gpt,0.07464633473862949,1.7826313398645546,False,0.6483333333333333,40,0.5466666666666666,40,109,168,93,168
10,baseline_gpt,grr_gpt,0.2400029187426604,-1.1749794967174298,False,0.5055357142857143,40,0.5638988095238096,40,125,246,138,246
10,baseline_gpt,grtx_gpt,0.7867732128130362,0.2705031253814169,False,0.5055357142857143,40,0.4989285714285714,40,125,246,122,246
10,grr_gpt,grtx_gpt,0.14845412817746986,1.4450133772659193,False,0.5638988095238096,40,0.4989285714285714,40,138,246,122,246
20,baseline_gpt,grr_gpt,0.6219669418032235,-0.4930646014998804,False,0.5579960317460317,40,0.5826190476190476,40,169,302,175,302
20,baseline_gpt,grtx_gpt,0.022642848036559624,2.279407581967556,True,0.5579960317460317,40,0.4658730158730159,40,169,302,141,302
20,grr_gpt,grtx_gpt,0.0056080630660403745,2.76985861317688,True,0.5826190476190476,40,0.4658730158730159,40,175,302,141,302
